words,sen_len,tree_depth,top_const,tense,subjnum,objnum
This,3,5,1,2,1,1
is,3,5,1,2,1,1
Los,3,5,1,2,1,1
Angeles.,3,5,1,2,1,1
And,1,7,2,2,1,1
it's,1,7,2,2,1,1
the,1,7,2,2,1,1
height,1,7,2,2,1,1
of,1,7,2,2,1,1
summer.,1,7,2,2,1,1
In,2,7,2,2,1,1
a,2,7,2,2,1,1
small,2,7,2,2,1,1
bungalow,2,7,2,2,1,1
off,2,7,2,2,1,1
of,2,7,2,2,1,1
La,2,7,2,2,1,1
"Cienega,",2,7,2,2,1,1
Clara,2,7,2,2,1,1
serves,2,7,2,2,1,1
homemade,2,7,2,2,1,1
chili,2,7,2,2,1,1
and,2,7,2,2,1,1
chips,2,7,2,2,1,1
in,2,7,2,2,1,1
red,2,7,2,2,1,1
plastic,2,7,2,2,1,1
bowls,2,7,2,2,1,1
wine,2,7,2,2,1,1
in,2,7,2,2,1,1
blue,2,7,2,2,1,1
plastic.,2,7,2,2,1,1
The,2,7,2,2,2,2
colors,2,7,2,2,2,2
don't,2,7,2,2,2,2
match,2,7,2,2,2,2
and,2,7,2,2,2,2
the,2,7,2,2,2,2
cups,2,7,2,2,2,2
are,2,7,2,2,2,2
too,2,7,2,2,2,2
big,2,7,2,2,2,2
to,2,7,2,2,2,2
serve,2,7,2,2,2,2
wine.,2,7,2,2,2,2
You,2,7,2,1,1,2
didn't,2,7,2,1,1,2
get,2,7,2,1,1,2
half,2,7,2,1,1,2
the,2,7,2,1,1,2
things,2,7,2,1,1,2
on,2,7,2,1,1,2
my,2,7,2,1,1,2
"list,",2,7,2,1,1,2
she,2,7,2,1,1,2
hisses,2,7,2,1,1,2
at,2,7,2,1,1,2
Gary,2,7,2,1,1,2
as,2,7,2,1,1,2
he,2,7,2,1,1,2
passes.,2,7,2,1,1,2
He,3,5,1,2,1,1
shrugs.,3,5,1,2,1,1
No,1,7,2,2,1,1
one,1,7,2,2,1,1
seems,1,7,2,2,1,1
to,1,7,2,2,1,1
mind,1,7,2,2,1,1
but,1,7,2,2,1,1
her.,1,7,2,2,1,1
